id,division,gender,maths,science,english
123,B,Male,87,58,92
124,B,Male,52,76,68
125,B,Male,91,99,80
126,B,Male,64,54,59
127,B,Male,80,87,73
128,B,Male,59,51,96
129,B,Male,95,83,52
130,B,Male,72,60,84
131,B,Male,56,92,65
132,B,Male,88,75,97
133,B,Male,61,57,58
134,B,Male,93,69,81
135,B,Male,75,94,72
136,B,Male,50,62,90
137,B,Male,97,80,56
138,B,Male,68,53,86
139,B,Male,84,98,64
140,B,Male,54,79,71
141,B,Male,99,58,55
142,B,Male,71,84,93
143,B,Male,63,66,78
144,B,Male,86,52,51
145,B,Male,55,91,67
146,B,Male,92,72,85
147,B,Male,78,55,54
148,B,Male,60,89,82
149,B,Male,83,63,76
150,B,Male,57,77,95
151,B,Female,66,90,52
152,B,Female,91,56,81
153,B,Female,54,78,94
154,B,Female,79,61,50
155,B,Female,96,94,87
156,B,Female,51,52,65
157,B,Female,85,86,73
158,B,Female,60,59,98
159,B,Female,88,82,55
160,B,Female,57,71,83
161,B,Female,93,50,69
162,B,Female,64,95,77
163,B,Female,80,64,59
164,B,Female,55,89,91
165,B,Female,99,57,62
166,B,Female,72,84,70
167,B,Female,61,66,54
168,B,Female,87,53,86
169,B,Female,53,92,97
170,B,Female,94,75,58
171,B,Female,68,60,82
172,B,Female,81,93,66
173,B,Female,59,51,75
174,B,Female,90,83,53
175,B,Female,75,55,89
176,B,Female,52,97,61
177,B,Female,97,58,74
178,B,Female,65,80,96
179,B,Female,83,63,51
180,B,Female,56,99,72
181,B,Female,92,72,85
182,B,Female,70,54,56
183,B,Female,63,81,90
184,B,Female,86,52,67
185,B,Female,50,77,79
186,B,Female,98,69,57
187,B,Female,71,94,84
188,B,Female,58,55,59
189,B,Female,95,87,93
190,B,Female,74,62,68
191,B,Female,62,79,52
192,B,Female,89,51,80
193,B,Female,55,91,71
194,B,Female,90,67,60
195,B,Female,77,53,95
196,B,Female,51,85,76
197,B,Female,82,59,54
198,B,Female,69,96,88
199,B,Female,94,70,63
200,B,Female,61,50,99
201,C,Male,55,72,90
202,C,Male,84,59,51
203,C,Male,67,88,76
204,C,Male,91,63,82
205,C,Male,52,94,55
206,C,Male,80,51,68
207,C,Male,69,77,93
208,C,Male,96,85,60
209,C,Male,58,54,79
210,C,Male,75,91,52
211,C,Male,93,66,87
212,C,Male,60,82,57
213,C,Male,87,53,74
214,C,Male,54,99,61
215,C,Male,99,62,85
216,C,Male,71,50,53
217,C,Male,85,78,96
